feature,importancia_shap
sexo_Mujer,0.09049259832635598
depresion_cesd,0.060925608228839384
edad,0.051327362021962475
ansiedad_frec,0.04235965380844589
asi,0.04143553957566011
conducta_alim,0.0381563152413201
alcohol_12m,0.010435241244731
violencia_reciente,0.0030217738508383314
vapea_actual,0.0012538167645998295
binge_alcohol,4.0694972413871715e-05
