modelo,MCC_media,MCC_sd,balanced_accuracy_media,balanced_accuracy_sd,f1_macro_media,f1_macro_sd,sensibilidad_media,sensibilidad_sd,especificidad_media,especificidad_sd,ppv_media,ppv_sd,auc_roc_media,auc_roc_sd
Regresión Logística,0.3314909355291874,0.03671369061362818,0.774134242846066,0.04022138683126961,0.6259518715747276,0.01456380962576473,0.6819354838709677,0.09611820679465131,0.8663330018211642,0.020712910130422653,0.22100132140859227,0.018566285014862446,0.8585688284954361,0.030956841999957307
Gradient Boosting,0.2655639951101728,0.033796653640962786,0.702543557324176,0.021577227305648188,0.6089438033346617,0.01985834186385821,0.5193548387096774,0.04375696763306625,0.8857322759386745,0.018150874883084096,0.2038257981582388,0.028079256518212598,0.8331900720229978,0.016128239930797334
SVM (RBF),0.09590769373194859,0.0944571520293697,0.5592691760762932,0.06092770429452652,0.545106681517078,0.044773745602509185,0.1896774193548387,0.12231550272159038,0.9288609327977475,0.008937058410105402,0.12427076929825578,0.0679809824638168,0.6380437948824355,0.07189846789421483
Random Forest,0.09425048878212325,0.0813439775442696,0.5280820028057013,0.022905339880296253,0.5366983537480406,0.03424087985485566,0.07161290322580646,0.04320172656202118,0.984551102385596,0.00332484824085112,0.2085858585858586,0.1437540894757287,0.8214038144592914,0.03764349619875056
